Metric,Type,n,Prevalence,ROC-AUC,ROC 95% CI,PR-AUC,PR 95% CI
"ipSAE_min (AF3, AI)",AI,4395,65.3%,0.749,[0.725–0.772],0.283,[0.248–0.321]
"Global pLDDT (AF2/AF3, AI)",AI,4852,65.3%,0.659,[0.639–0.682],0.169,[0.153–0.188]
"PAE Interaction (AF2, AI)",AI,3752,65.3%,0.707,[0.680–0.733],0.220,[0.197–0.253]
"ipTM (AF3, AI)",AI,4773,65.3%,0.685,[0.663–0.705],0.171,[0.155–0.190]
Rosetta ΔG (Physics),Physics,3367,65.3%,0.705,[0.678–0.730],0.207,[0.182–0.238]
