t,y
0.0,0.0
0.19999999999998863,0.0013769999999999616
0.39999999999997726,0.0023600000000000287
0.5999999999999659,0.0045600000000000085
0.7999999999999545,0.005407999999999968
1.0,0.007325999999999944
1.1999999999999886,0.009059999999999957
1.3999999999999773,0.010765999999999942
1.599999999999966,0.013274000000000008
1.7999999999999545,0.01699600000000001
2.0,0.019522999999999957
2.1999999999999886,0.021205999999999947
2.3999999999999773,0.02227199999999996
2.599999999999966,0.023633000000000015
2.7999999999999545,0.024720999999999993
3.0,0.026864
3.1999999999999886,0.03021600000000002
3.3999999999999773,0.03400399999999992
3.599999999999966,0.036619999999999986
3.7999999999999545,0.03879599999999994
4.0,0.040642999999999985
4.199999999999989,0.04200300000000001
4.399999999999977,0.043906
4.599999999999966,0.04571000000000003
4.7999999999999545,0.04807499999999998
5.0,0.050501999999999936
5.199999999999989,0.05184
5.399999999999977,0.05316299999999996
5.599999999999966,0.05549599999999999
5.7999999999999545,0.05795399999999995
6.0,0.05974099999999993
6.199999999999989,0.061561999999999895
6.399999999999977,0.06288000000000005
6.599999999999966,0.06428699999999998
6.7999999999999545,0.065253
7.0,0.06631600000000004
7.199999999999989,0.06829299999999994
7.399999999999977,0.07060699999999986
7.599999999999966,0.07212700000000005
7.7999999999999545,0.07320700000000002
8.0,0.07351799999999997
8.199999999999989,0.07429200000000002
8.399999999999977,0.07433000000000001
8.599999999999966,0.07498500000000008
8.799999999999955,0.076044
9.0,0.07765500000000003
9.199999999999989,0.07976300000000003
9.399999999999977,0.08237399999999995
9.599999999999966,0.084152
9.799999999999955,0.085067
10.0,0.08603699999999992
10.199999999999989,0.08678499999999989
10.399999999999977,0.087202
10.599999999999966,0.0875459999999999
10.799999999999955,0.08887299999999998
11.0,0.0902639999999999
11.199999999999989,0.09130599999999989
11.399999999999977,0.0914839999999999
11.599999999999966,0.09252400000000005
11.799999999999955,0.09335000000000004
12.0,0.0944879999999999
12.199999999999989,0.09545199999999987
12.399999999999977,0.0973679999999999
12.599999999999966,0.09813099999999997
12.799999999999955,0.09936600000000007
13.0,0.10049299999999994
13.199999999999989,0.10230600000000001
13.399999999999977,0.10443500000000006
13.599999999999966,0.10626800000000003
13.799999999999955,0.10660199999999986
14.0,0.10629500000000003
14.199999999999989,0.10560199999999997
14.399999999999977,0.10529999999999995
14.599999999999966,0.10501199999999988
14.799999999999955,0.10588399999999987
15.0,0.10707500000000003
15.199999999999989,0.10791899999999988
15.399999999999977,0.1081589999999999
15.599999999999966,0.10943499999999995
15.799999999999955,0.11066399999999987
16.0,0.11190699999999998
16.19999999999999,0.11343599999999987
16.399999999999977,0.11468299999999987
16.599999999999966,0.11565899999999996
16.799999999999955,0.11576699999999995
17.0,0.11581700000000006
17.19999999999999,0.11588200000000004
17.399999999999977,0.11673800000000001
17.599999999999966,0.11797100000000005
17.799999999999955,0.1184909999999999
18.0,0.11853500000000006
18.19999999999999,0.11866599999999994
18.399999999999977,0.11858499999999994
18.599999999999966,0.11856899999999992
18.799999999999955,0.11956299999999986
19.0,0.12132999999999994
19.19999999999999,0.12220600000000004
19.399999999999977,0.12292599999999987
19.599999999999966,0.12393100000000001
19.799999999999955,0.12477800000000006
20.0,0.12482499999999996
20.19999999999999,0.12546999999999997
20.399999999999977,0.12614799999999993
20.599999999999966,0.12612800000000002
20.799999999999955,0.12571
21.0,0.12623499999999988
21.19999999999999,0.12649899999999992
21.399999999999977,0.12813799999999986
21.599999999999966,0.12938800000000006
21.799999999999955,0.13118000000000007
22.0,0.13275400000000004
22.19999999999999,0.1343209999999999
22.399999999999977,0.13498300000000008
22.599999999999966,0.13518000000000008
22.799999999999955,0.13598700000000008
23.0,0.13555899999999999
23.19999999999999,0.13527200000000006
23.399999999999977,0.133424
23.599999999999966,0.13282499999999997
23.799999999999955,0.13322299999999987
24.0,0.134922
24.19999999999999,0.13675799999999994
24.399999999999977,0.13999300000000003
24.599999999999966,0.14295400000000003
24.799999999999955,0.14467999999999992
25.0,0.14522600000000008
25.19999999999999,0.14590499999999995
25.399999999999977,0.14591599999999993
25.599999999999966,0.1451039999999999
25.799999999999955,0.143691
26.0,0.14378099999999994
26.19999999999999,0.1442429999999999
26.399999999999977,0.14551199999999986
26.599999999999966,0.14666599999999996
26.799999999999955,0.148679
27.0,0.14923700000000006
27.19999999999999,0.14889299999999994
27.399999999999977,0.1487639999999999
27.599999999999966,0.14950799999999997
27.799999999999955,0.14895599999999987
28.0,0.14974399999999988
28.19999999999999,0.15139400000000003
28.399999999999977,0.15290899999999996
28.599999999999966,0.15314099999999997
28.799999999999955,0.153327
29.0,0.153103
29.19999999999999,0.15162600000000004
29.399999999999977,0.14929900000000007
29.599999999999966,0.14882899999999988
29.799999999999955,0.14996900000000002
30.0,0.150312
30.19999999999999,0.1511119999999999
30.399999999999977,0.15275799999999995
30.599999999999966,0.15353499999999998
30.799999999999955,0.15313
31.0,0.15419199999999988
31.19999999999999,0.15543299999999993
31.399999999999977,0.15570799999999996
31.599999999999966,0.15526700000000004
31.799999999999955,0.155076
32.0,0.15430499999999991
32.19999999999999,0.15360299999999993
32.39999999999998,0.1534439999999999
32.599999999999966,0.15430699999999997
32.799999999999955,0.1558679999999999
33.0,0.15710899999999994
33.19999999999999,0.15858299999999992
33.39999999999998,0.15977400000000008
33.599999999999966,0.16050699999999996
33.799999999999955,0.16002000000000005
34.0,0.15965800000000008
34.19999999999999,0.15960099999999988
34.39999999999998,0.15982399999999997
34.599999999999966,0.16047600000000006
34.799999999999955,0.16119899999999987
35.0,0.16123599999999993
